row_num,csv_parent_path,csv_name,status,message,subcategory_id,db_name_ar,db_name_en,slug,parent_subcategory_id,category_id
151,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan",NV200,added,"Created subcategory id 44869",44869,NV200,NV200,nissan-trucks-light-trucks-nv200,38839,1
152,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan",NV300,added,"Created subcategory id 44870",44870,NV300,NV300,nissan-trucks-light-trucks-nv300,38839,1
153,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan",NV350,added,"Created subcategory id 44871",44871,NV350,NV350,nissan-trucks-light-trucks-nv350,38839,1
154,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan",Urvan,added,"Created subcategory id 44872",44872,Urvan,Urvan,nissan-trucks-light-trucks-urvan,38839,1
155,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Opel",Combo,added,"Created subcategory id 44873",44873,Combo,Combo,opel-trucks-light-trucks-combo,38840,1
156,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Opel",Movano,skipped_exists,"Subcategory already exists under parent (id 39421)",39421,movano,Movano,movano-opel-trucks-light-trucks,38840,1
157,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Opel",Vivaro,added,"Created subcategory id 44874",44874,Vivaro,Vivaro,opel-trucks-light-trucks-vivaro,38840,1
158,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Opel","Zafira Life",added,"Created subcategory id 44875",44875,"Zafira Life","Zafira Life",opel-trucks-light-trucks-zafira-life,38840,1
159,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Peugeot",Expert,added,"Created subcategory id 44876",44876,Expert,Expert,peugeot-trucks-light-trucks-expert,38843,1
160,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Peugeot",Partner,added,"Created subcategory id 44877",44877,Partner,Partner,peugeot-trucks-light-trucks-partner,38843,1
161,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Peugeot",Traveller,added,"Created subcategory id 44878",44878,Traveller,Traveller,peugeot-trucks-light-trucks-traveller,38843,1
162,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Renault",Express,added,"Created subcategory id 44879",44879,Express,Express,renault-trucks-trucks-light-trucks-express,38848,1
163,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Renault",Kangoo,added,"Created subcategory id 44880",44880,Kangoo,Kangoo,renault-trucks-trucks-light-trucks-kangoo,38848,1
164,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Renault",Trafic,added,"Created subcategory id 44881",44881,Trafic,Trafic,renault-trucks-trucks-light-trucks-trafic,38848,1
165,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Toyota",Coaster,added,"Created subcategory id 44882",44882,Coaster,Coaster,toyota-trucks-light-trucks-coaster,38857,1
166,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Toyota",Hiace,added,"Created subcategory id 44883",44883,Hiace,Hiace,toyota-trucks-light-trucks-hiace,38857,1
167,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Volkswagen",Caddy,added,"Created subcategory id 44884",44884,Caddy,Caddy,volkswagen-trucks-light-trucks-caddy,38858,1
168,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Volkswagen",California,added,"Created subcategory id 44885",44885,California,California,volkswagen-trucks-light-trucks-california,38858,1
